	A0001	A0002	A0003	A0004	A0005	A0006	A0007	A0008	A0009	A0010	A0011	A0012	A0013	A0014	A0015	A0016	A0017	A0018	A0019	A0020	A0021	A0022	A0023	A0024	A0025	A0026	A0027	A0028	A0029	A0030	A0031	A0032	A0033	A0034	A0035	A0036	A0037	A0038	A0039	A0040	A0041	A0042	A0043	A0044	A0045	A0046	A0047	A0048	A0049	A0050	A0051	A0052	A0053	A0054	A0055	A0056	A0057	A0058	A0059	A0060	A0061	A0062	A0063	A0064	A0065	A0066	A0067	A0068	A0069	A0070	A0071	A0072	A0073	A0074	A0075	A0076	A0077	A0078	A0079	A0080	A0081	A0082	A0083	A0084	A0085	A0086	A0087	A0088	A0089	A0090	A0091	A0092	A0093	A0094	A0095	A0096	A0097	A0098	A0099	A0100	A0101	A0102	A0103	A0104	A0105	A0106	B0001	B0002	B0003	B0004	B0005	B0006	B0007	B0008	B0009	B0010	B0011	B0012	B0013	B0014	B0015	B0016	B0017	B0018	B0019	B0020	B0021	B0022	B0023	B0024	B0025	B0026	B0027	B0028	B0029	B0030	B0031	B0032	B0033	B0034	B0035	B0036	B0037	B0038	B0039	B0040	B0041	B0042	B0043	B0044	B0045	B0046	B0047	B0048	B0049	B0050	B0051	B0052	B0053	B0054	B0055	B0056	B0057	B0058	B0059	B0060	B0061	B0062	B0063	B0064	B0065	B0066	B0067	B0068	B0069	B0070	B0071	B0072	B0073	B0074	B0075	B0076	B0077	B0078	B0079	B0080	B0081	B0082	B0083	B0084	B0085	B0086	B0087	B0088	B0089	B0090	B0091	B0092	B0093	B0094	B0095	B0096	B0097	B0098	B0099	B0100	B0101	B0102	B0103	B0104	B0105	B0106
A0001	undef	1																																																																																																																																																																																																																		
A0002	1	undef	1	1	1																																																																																																																																																																																																															
A0003		1	undef	1	1	1																																		1																																																																																																																																																																												
A0004		1	1	undef	1	1	1																																																																																																																																																																																																													
A0005		1	1	1	undef	1	1	1																																																																																																																																																																																																												
A0006			1	1	1	undef	1	1	1																											1																																																																																																																																																																																
A0007				1	1	1	undef	1	1	1																																																																																																																																																																																																										
A0008					1	1	1	undef	1	1	1																																																																																																																																																																																																									
A0009						1	1	1	undef	1	1	1																																																																																																																																																																																																								
A0010							1	1	1	undef	1	1	1																				1																																																																																																																																																																																			
A0011								1	1	1	undef	1	1	1																																																																																																																																																																																																						
A0012									1	1	1	undef	1	1	1																																																																																																																																																																																																					
A0013										1	1	1	undef	1	1	1													1																																																																																																																																																																																							
A0014											1	1	1	undef	1	1	1																																																																																																																																																																																																			
A0015												1	1	1	undef	1	1	1																																																																																																																																																																																																		
A0016													1	1	1	undef	1	1	1	1																																																																																																																																																																																																
A0017														1	1	1	undef	1	1	1						1																																																																																																																																																																																										
A0018															1	1	1	undef	1	1																																																																																																																																																																																																
A0019																1	1	1	undef	1																																																																																																																																																																																																
A0020																1	1	1	1	undef	1	1			1																																																																																																																																																																																											
A0021																				1	undef	1																																																																																																																																																																																														
A0022																				1	1	undef	1	1	1																																																																																																																																																																																											
A0023																						1	undef	1	1	1	1																																																				1					1																																																																																																																																
A0024																						1	1	undef	1	1	1	1																																																																																																																																																																																								
A0025																				1		1	1	1	undef	1	1	1																																																																																																																																																																																								
A0026																	1						1	1	1	undef	1	1	1																																																																																																																																																																																							
A0027																							1	1	1	1	undef	1	1	1																																														1																																																																																																																																								
A0028																								1	1	1	1	undef	1	1	1																																																																																																																																																																																					
A0029													1													1	1	1	undef	1	1	1																																																																																																																																																																																				
A0030																											1	1	1	undef	1	1	1																																																																																																																																																																																			
A0031																												1	1	1	undef	1	1	1																																																																																																																																																																																		
A0032																													1	1	1	undef	1	1	1																																																																																																																																																																																	
A0033										1																				1	1	1	undef	1	1	1																																																																																																																																																																																
A0034																															1	1	1	undef	1	1	1																																1																																																																																																																																															
A0035																																1	1	1	undef	1	1	1																																																																																																																																																																														
A0036						1																											1	1	1	undef	1	1	1																																																																																																																																																																													
A0037																																		1	1	1	undef	1	1	1																									1																																																																																																																																																			
A0038																																			1	1	1	undef	1	1	1																																																																																																																																																																											
A0039																																				1	1	1	undef	1	1	1																																																																																																																																																																										
A0040			1																																		1	1	1	undef	1	1	1																																																																																																																																																																									
A0041																																						1	1	1	undef	1	1																			1																																																																																																																																																						
A0042																																							1	1	1	undef	1																																																																																																																																																																									
A0043																																								1	1	1	undef	1																																																																																																																																																																								
A0044																																											1	undef	1																																																																																																																																																																							
A0045																																												1	undef	1	1	1																																																																																																																																																																				
A0046																																													1	undef	1	1	1																																																																																																																																																																			
A0047																																													1	1	undef	1	1																																																																																																																																																																			
A0048																																													1	1	1	undef	1	1	1																																																																																																																																																																	
A0049																																														1	1	1	undef	1	1																																																																																																																																																																	
A0050																																																1	1	undef	1																																																																																																																																																																	
A0051																																																1	1	1	undef	1																																																																																																																																																																
A0052																																																			1	undef	1	1	1																																																																																																																																																													
A0053																																																				1	undef	1	1			1																																																																																																																																																										
A0054																																																				1	1	undef	1																																																																																																																																																													
A0055																																																				1	1	1	undef	1	1	1																																																																																																																																																										
A0056																																																							1	undef	1	1	1																																																																																																																																																									
A0057																																																							1	1	undef	1	1	1																																																																																																																																																								
A0058																																																					1		1	1	1	undef	1	1	1																																																																																																																																																							
A0059																																																								1	1	1	undef	1	1	1																																																																																																																																																						
A0060																																																									1	1	1	undef	1	1	1																																																																																																																																																					
A0061																																																										1	1	1	undef	1	1	1																																																																																																																																																				
A0062																																									1																		1	1	1	undef	1	1	1																																																																																																																																																			
A0063																																																												1	1	1	undef	1	1	1																																																																																																																																																		
